Source,Target,Weight
83,375|83,23
83,248,10.6364
83,315,11.6
83,221|83,78
83,260,14.72
83,167,11.8333
83,49,17.381
83,388,14.48
83,3,10.5
83,216|83,75
83,207|83,124.6
83,154,11.4286
83,351,11.4286
83,127,11
83,255,11
83,233|83,39.8889
83,155|83,25.7273
83,41,11.4
83,276,12.25
83,218|83,107.2
83,258,11.8889
83,358|83,52.5
83,150,11
83,147,11.7692
83,366|83,180.733
83,215|83,62.1429
83,374,11.5
83,39,10.5714
83,21|83,338
83,387,11
83,227,12.2
83,142|83,14
83,16|83,51.5
83,209|83,194.4
83,206|83,31
83,256,11.75
83,205|83,149.143
83,245,10.3333
83,97,11
83,363|83,231.667
83,177,11.5714
83,128,20
83,50,10.6667
83,51,11.5
83,285,11.5
83,94,10
83,370|83,14
83,214|83,29
61,340,14.25
61,84,12.4667
61,83,12.4118
61,363,16.25
61,369,19.25
61,365,11.3333
61,191,10
61,234,13
363,340,366.871
363,22,889.29
363,217,585.968
363,212,410.677
363,210|363,2259.67
363,84,284.154
363,61,12
363,369,75.5
363,365,2909.71
363,164,22.9677
363,153,13.0476
363,20,2061.23
363,17,12.0667
363,205,5274.77
363,339,1983.03
363,202,218.742
363,16,128.241
363,204,1557.73
363,366,1530.07
363,220,779.903
363,23,602.806
363,83|363,257.71
363,218,308.097
363,208,1032.8
363,209,791.516
363,222,310.929
363,211,364.161
363,203,2861.03
363,206,288.903
363,207,702.419
363,21,2605.29
363,342,1557.82
363,210,2377.18
363,278,106
363,26,33.2581
363,191,31.0667
363,197,43.871
363,223,86.1765
363,89,13.7083
363,364,58.4091
363,358,36.1429
363,25,32.9355
363,368,513.226
363,190,12.8182
363,234,212.615
363,224,38
363,226,19.4194
363,143,26.9677
363,266,20.5862
363,287,13.25
363,225,24.9333
363,341,159.478
363,196,62.1923
363,219,112.645
363,199,37.6552
363,19,310.742
363,214,129
363,216,163.462
363,221,146.846
363,215,98.9
363,299,16.0833
363,163,11.5714
363,155,12.5556
363,181,16.8667
363,158,38.9615
363,162,11.7778
363,233,84.6667
363,200,24.1935
363,367,80
363,159,20
363,375,17.1538
363,156,11.3333
363,180,20.0667
363,157,11.2222
363,160,15.48
363,213,69.2414
363,201,37.2903
363,192,16.6667
363,178,12.4545
363,238,14.12
363,152,10.4
363,229,16.4118
363,14,11
363,149,11
363,241,11.6154
363,232,10
363,370,17
363,198,10.3333
363,371,13.5625
363,113,13.0435
363,281,13.6154
363,124,10
363,360,10.3333
363,364|363,72.1111
363,235,11.2
363,115,12.75
363,12,10
363,341|363,109.375
363,369|363,92.8
363,216|363,134.222
363,199|363,55.5
363,47,11
363,362,10
363,252,11
363,223|363,105.143
363,288,11.7
363,84|363,229
363,230,10
363,234|363,193.556
363,236,10
363,195,10
363,278|363,110.16
363,214|363,85.3333
363,196|363,57.2
363,215|363,87.381
363,16|363,97
363,367|363,79.6667
363,233|363,85.8571
363,221|363,73.2
363,222|363,164.333
363,366|363,1207
363,204|363,1635
363,158|363,57.8
363,208|363,1220
363,342|363,1548.33
363,224|363,58
363,213|363,79
363,358|363,50
363,191|363,44
363,205|363,5908
369,340,39.2903
369,22,25.1613
369,217,24.2857
369,212,26.7
369,84,70.7667
369,83,45.9677
369,61,12.2
369,363,207.103
369,365,75.5625
369,20,37.6667
369,205,76.2857
369,339,26.4839
369,202,10.625
369,16,11.5
369,204,29.4839
369,366,39.129
369,220,25.9032
369,23,22.8387
369,218,12.7
369,208,18.2
369,209,25.2333
369,222,11.75
369,211,17.7333
369,203,24.9355
369,206,12.25
369,207,14.8182
369,21,53.7857
369,342,44.5862
369,210,49.2143
369,278,52.5556
369,26,15.25
369,191,23.6875
369,223,39.0417
369,364,15.9643
369,358,12.1429
369,25,21.25
369,368,19.3571
369,190,10
369,234,44.7419
369,224,33.1481
369,226,17.8519
369,143,13.875
369,266,10.3333
369,287,11
369,225,15.25
369,341,11
369,219,10
369,216,11
369,221,10
369,215,12.8182
369,233,64.2083
369,213,17
369,192,11
369,238,11
369,370,21.8966
369,281,13
369,235,10
369,278|369,85.5
369,62,10
369,224|369,63
369,205|369,74
369,233|369,81.1429
369,342|369,49
369,365|369,87.2
369,223|369,60.4286
369,363|369,150.5
369,21|369,72.6667
369,84|369,76
369,210|369,57.6667
369,20|369,54
369,209|369,37
365,340,306.393
365,22,713.935
365,217,391.387
365,212,375.774
365,84,148.667
365,363,2554.27
365,369,42.6
